State,!=,%,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,batapim,caractere,chimpanzini,delimitare,dunmadin,finitini,id,larila,lirili,porcoala,porcodio,sahur,saturnita,string,tralala,tralalero,tripi,tropa,tung,valor_inteiro,valor_real,||,$,ATRIBUICAO,BLOCO,BLOCO_DECISAO,BLOCO_REPETICAO,COMANDO,COMENTARIO,DECISAO,DECLARACAO,ENTRADA,EXPRESSAO,LACO_CONTADO,LACO_DE_REPETICAO,LISTA_DE_COMANDOS,OPERADOR,OPERADOR_ARITMETICO,OPERADOR_LOGICO,OPERADOR_RELACIONAL,PROGRAMA,SAIDA,TERMO,TIPO_DE_VARIAVEL,VALOR_BOOL
78,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,,,,,,,,,,85,,,,,,,,,,34,,24
79,error,error,error,error,error,error,error,error,error,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,
80,error,error,error,error,error,error,error,error,error,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,
81,error,error,error,error,error,error,error,error,error,error,error,error,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,
82,error,error,error,error,error,error,error,error,error,error,error,error,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,
83,error,error,error,error,error,error,error,error,error,error,error,error,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,
84,error,error,error,error,error,error,error,error,error,error,error,error,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,
85,s47,s65,s60,error,error,s55,s52,s61,s48,s86,s56,s59,error,s58,s51,s63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s66,error,,,,,,,,,,,,,,67,53,57,50,,,,,
86,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,,,,,,,,,,87,,,,,,,,,,34,,24
87,s47,s65,s60,error,s88,s55,s52,s61,s48,error,s56,s59,error,s58,s51,s63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s66,error,,,,,,,,,,,,,,67,53,57,50,,,,,
88,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s64,error,error,error,error,error,error,error,s62,error,error,error,error,error,error,error,error,error,error,error,,89,49,46,,,,,,,,,,,,,,,,,,
89,error,error,error,error,error,error,error,error,error,error,error,error,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,
